season,date,home_team,away_team,home_goals,away_goals,score,result,venue
2000-2001,2000-09-09,Barcelona,Málaga,2.0,1.0,2–1,Home Win,Nou Camp
2000-2001,2000-09-09,Zaragoza,Espanyol,1.0,2.0,1–2,Away Win,La Romareda
2000-2001,2000-09-09,La Coruña,Athletic Club,2.0,0.0,2–0,Home Win,Nuevo Riazor
2000-2001,2000-09-09,Real Sociedad,Racing Sant,2.0,2.0,2–2,Draw,Anoeta
2000-2001,2000-09-09,Real Madrid,Valencia,2.0,1.0,2–1,Home Win,Santiago Bernabéu
2000-2001,2000-09-10,Villarreal,Rayo Vallecano,1.0,5.0,1–5,Away Win,El Madrigal
2000-2001,2000-09-10,Las Palmas,Alavés,0.0,3.0,0–3,Away Win,Estadio Insular
2000-2001,2000-09-10,Mallorca,Valladolid,1.0,1.0,1–1,Draw,Son Moix
2000-2001,2000-09-10,Numancia,Oviedo,1.0,0.0,1–0,Home Win,Los Pajaritos
2000-2001,2000-09-10,Osasuna,Celta Vigo,0.0,2.0,0–2,Away Win,El Sadar
2000-2001,2000-09-16,Valencia,Mallorca,4.0,0.0,4–0,Home Win,Mestalla
2000-2001,2000-09-16,Racing Sant,La Coruña,0.0,3.0,0–3,Away Win,Campos de Sport del Sardinero
2000-2001,2000-09-16,Valladolid,Numancia,2.0,0.0,2–0,Home Win,Nuevo Zorrilla
2000-2001,2000-09-16,Málaga,Real Madrid,3.0,3.0,3–3,Draw,La Rosaleda
2000-2001,2000-09-16,Athletic Club,Barcelona,3.0,1.0,3–1,Home Win,San Mamés
2000-2001,2000-09-17,Celta Vigo,Real Sociedad,4.0,1.0,4–1,Home Win,Estadio de Balaídos
2000-2001,2000-09-17,Alavés,Villarreal,0.0,1.0,0–1,Away Win,Mendizorroza
2000-2001,2000-09-17,Oviedo,Las Palmas,2.0,2.0,2–2,Draw,Carlos Tartiere
2000-2001,2000-09-17,Espanyol,Osasuna,1.0,2.0,1–2,Away Win,Olímpic Lluís Companys
2000-2001,2000-09-17,Rayo Vallecano,Zaragoza,0.0,0.0,0–0,Draw,Teresa Rivero
2000-2001,2000-09-23,Barcelona,Racing Sant,3.0,1.0,3–1,Home Win,Nou Camp
2000-2001,2000-09-23,Real Madrid,Athletic Club,4.0,1.0,4–1,Home Win,Santiago Bernabéu
2000-2001,2000-09-23,Real Sociedad,La Coruña,1.0,1.0,1–1,Draw,Anoeta
2000-2001,2000-09-23,Zaragoza,Alavés,2.0,2.0,2–2,Draw,La Romareda
2000-2001,2000-09-23,Las Palmas,Valladolid,1.0,1.0,1–1,Draw,Estadio Insular
2000-2001,2000-09-24,Villarreal,Oviedo,1.0,0.0,1–0,Home Win,El Madrigal
2000-2001,2000-09-24,Numancia,Valencia,0.0,3.0,0–3,Away Win,Los Pajaritos
2000-2001,2000-09-24,Celta Vigo,Espanyol,1.0,0.0,1–0,Home Win,Estadio de Balaídos
2000-2001,2000-09-24,Osasuna,Rayo Vallecano,2.0,2.0,2–2,Draw,El Sadar
2000-2001,2000-09-24,Mallorca,Málaga,0.0,1.0,0–1,Away Win,Son Moix
2000-2001,2000-09-30,Racing Sant,Real Madrid,0.0,0.0,0–0,Draw,Campos de Sport del Sardinero
2000-2001,2000-10-01,Alavés,Osasuna,2.0,0.0,2–0,Home Win,Mendizorroza
2000-2001,2000-10-01,Athletic Club,Mallorca,2.0,1.0,2–1,Home Win,San Mamés
2000-2001,2000-10-01,Málaga,Numancia,1.0,3.0,1–3,Away Win,La Rosaleda
2000-2001,2000-10-01,Oviedo,Zaragoza,2.0,1.0,2–1,Home Win,Carlos Tartiere
2000-2001,2000-10-01,La Coruña,Barcelona,2.0,0.0,2–0,Home Win,Nuevo Riazor
2000-2001,2000-10-01,Valencia,Las Palmas,5.0,1.0,5–1,Home Win,Mestalla
2000-2001,2000-10-01,Valladolid,Villarreal,0.0,0.0,0–0,Draw,Nuevo Zorrilla
2000-2001,2000-10-01,Rayo Vallecano,Celta Vigo,3.0,0.0,3–0,Home Win,Teresa Rivero
2000-2001,2000-10-01,Espanyol,Real Sociedad,1.0,2.0,1–2,Away Win,Olímpic Lluís Companys
2000-2001,2000-10-14,Las Palmas,Málaga,2.0,1.0,2–1,Home Win,Estadio Insular
2000-2001,2000-10-14,Real Sociedad,Barcelona,0.0,6.0,0–6,Away Win,Anoeta
2000-2001,2000-10-14,Villarreal,Valencia,1.0,1.0,1–1,Draw,El Madrigal
2000-2001,2000-10-14,Real Madrid,La Coruña,3.0,0.0,3–0,Home Win,Santiago Bernabéu
2000-2001,2000-10-14,Espanyol,Rayo Vallecano,0.0,0.0,0–0,Draw,Olímpic Lluís Companys
2000-2001,2000-10-15,Zaragoza,Valladolid,0.0,0.0,0–0,Draw,La Romareda
2000-2001,2000-10-15,Numancia,Athletic Club,0.0,0.0,0–0,Draw,Los Pajaritos
2000-2001,2000-10-15,Mallorca,Racing Sant,2.0,1.0,2–1,Home Win,Son Moix
2000-2001,2000-10-15,Osasuna,Oviedo,0.0,0.0,0–0,Draw,El Sadar
2000-2001,2000-10-15,Celta Vigo,Alavés,1.0,1.0,1–1,Draw,Estadio de Balaídos
2000-2001,2000-10-21,Valencia,Zaragoza,1.0,0.0,1–0,Home Win,Mestalla
2000-2001,2000-10-21,Barcelona,Real Madrid,2.0,0.0,2–0,Home Win,Nou Camp
2000-2001,2000-10-21,La Coruña,Mallorca,1.0,1.0,1–1,Draw,Nuevo Riazor
2000-2001,2000-10-22,Valladolid,Osasuna,1.0,1.0,1–1,Draw,Nuevo Zorrilla
2000-2001,2000-10-22,Oviedo,Celta Vigo,3.0,1.0,3–1,Home Win,Carlos Tartiere
2000-2001,2000-10-22,Racing Sant,Numancia,4.0,2.0,4–2,Home Win,Campos de Sport del Sardinero
